iter	Passed	Remaining
0	7	2123
1	13	1959
2	18	1859
3	24	1803
4	30	1808
5	36	1801
6	42	1778
7	48	1775
8	54	1763
9	59	1739
10	65	1724
11	71	1710
12	77	1710
13	83	1702
14	89	1698
15	95	1692
16	101	1683
17	106	1675
18	112	1665
19	118	1659
20	124	1653
21	130	1648
22	136	1641
23	142	1642
24	148	1635
25	154	1624
26	159	1616
27	165	1609
28	171	1601
29	177	1593
30	182	1586
31	188	1580
32	194	1572
33	199	1561
34	205	1554
35	211	1547
36	216	1538
37	221	1529
38	227	1522
39	233	1516
40	238	1509
41	244	1501
42	250	1494
43	255	1489
44	261	1482
45	267	1477
46	273	1471
47	279	1468
48	286	1465
49	292	1460
50	298	1456
51	304	1449
52	310	1446
53	316	1442
54	322	1436
55	328	1431
56	334	1427
57	341	1423
58	347	1418
59	352	1411
60	358	1405
61	364	1399
62	370	1393
63	375	1386
64	381	1381
65	387	1375
66	394	1371
67	401	1369
68	407	1363
69	413	1359
70	420	1356
71	426	1349
72	432	1344
73	438	1339
74	444	1332
75	450	1328
76	456	1323
77	463	1318
78	469	1314
79	475	1307
80	481	1302
81	487	1294
82	493	1289
83	498	1283
84	504	1276
85	510	1269
86	516	1263
87	522	1258
88	528	1252
89	533	1245
90	539	1239
91	545	1234
92	551	1228
93	557	1222
94	563	1216
95	569	1209
96	575	1203
97	580	1197
98	586	1190
99	592	1184
100	598	1178
101	604	1172
102	610	1166
103	616	1161
104	622	1155
105	628	1149
106	634	1143
107	639	1137
108	645	1131
109	651	1124
110	657	1118
111	662	1112
112	669	1107
113	675	1101
114	681	1095
115	686	1089
116	692	1083
117	698	1077
118	705	1072
119	711	1067
120	717	1061
121	723	1055
122	728	1048
123	734	1043
124	740	1036
125	746	1030
126	752	1024
127	758	1018
128	764	1012
129	770	1007
130	776	1001
131	782	995
132	788	989
133	794	983
134	799	977
135	806	972
136	812	966
137	819	961
138	824	955
139	831	949
140	837	944
141	843	938
142	850	933
143	856	928
144	863	922
145	869	917
146	876	912
147	882	906
148	889	901
149	896	896
150	902	890
151	910	886
152	916	880
153	923	875
154	930	870
155	937	864
156	943	859
157	949	853
158	955	847
159	962	841
160	968	836
161	974	830
162	980	824
163	987	818
164	994	813
165	1000	807
166	1006	801
167	1013	796
168	1019	790
169	1025	784
170	1032	778
171	1038	772
172	1045	767
173	1051	761
174	1057	755
175	1063	749
176	1070	743
177	1076	737
178	1082	731
179	1088	725
180	1094	719
181	1101	714
182	1107	708
183	1113	701
184	1119	696
185	1125	690
186	1132	684
187	1138	678
188	1144	672
189	1150	666
190	1156	660
191	1163	654
192	1169	648
193	1175	642
194	1181	636
195	1187	630
196	1193	624
197	1200	618
198	1206	612
199	1212	606
200	1218	600
201	1224	594
202	1230	588
203	1236	582
204	1242	575
205	1249	569
206	1255	563
207	1261	557
208	1267	551
209	1273	545
210	1279	539
211	1285	533
212	1291	527
213	1297	521
214	1304	515
215	1309	509
216	1316	503
217	1322	497
218	1328	491
219	1334	485
220	1340	479
221	1346	472
222	1352	466
223	1358	460
224	1364	454
225	1370	448
226	1376	442
227	1382	436
228	1387	430
229	1393	424
230	1399	418
231	1405	412
232	1412	406
233	1418	400
234	1424	393
235	1430	387
236	1436	381
237	1442	375
238	1448	369
239	1454	363
240	1460	357
241	1467	351
242	1473	345
243	1480	339
244	1486	333
245	1492	327
246	1498	321
247	1504	315
248	1510	309
249	1516	303
250	1522	297
251	1528	291
252	1534	285
253	1540	279
254	1546	272
255	1552	266
256	1558	260
257	1564	254
258	1570	248
259	1576	242
260	1583	236
261	1589	230
262	1595	224
263	1601	218
264	1607	212
265	1612	206
266	1618	199
267	1623	193
268	1630	187
269	1636	181
270	1642	175
271	1648	169
272	1654	163
273	1660	157
274	1666	151
275	1672	145
276	1679	139
277	1684	133
278	1690	127
279	1695	121
280	1701	115
281	1707	108
282	1713	102
283	1719	96
284	1726	90
285	1733	84
286	1739	78
287	1746	72
288	1752	66
289	1758	60
290	1764	54
291	1770	48
292	1776	42
293	1782	36
294	1788	30
295	1794	24
296	1801	18
297	1807	12
298	1813	6
299	1820	0
