Temperature,Humidity,Rainfall,pH,N,P,K,Soil,Crop,Fertilizer
34.61,88.65,21.22,6.79,102.6,11.6,47.6,sandy,muskmelon,Good NPK
26.51,80.17,49.11,6.36,114.4,8.7,48.5,clay loam,watermelon,DAP
36.74,93.65,148.25,6.05,50.9,44.9,54.5,Clayey,papaya,Urea and DAP
33.99,92.4,148.5,6.89,51.4,45.0,46.0,alluvial,papaya,Urea and DAP
21.97,93.7,115.18,6.79,22.5,135.9,206.6,laterite,apple,DAP and MOP
27.88,46.86,107.82,6.8,15.0,21.0,34.2,laterite,mango,Urea and DAP
21.69,90.88,111.01,5.98,17.6,141.3,200.3,laterite,apple,DAP and MOP
32.81,56.87,50.23,5.31,19.9,43.9,21.5,laterite,mothbeans,DAP and MOP
34.75,85.74,57.97,6.51,21.0,69.6,22.7,clay loam,mungbean,Urea and DAP
25.62,72.14,50.69,6.42,16.9,71.5,20.6,alluvial,lentil,DAP and MOP
25.84,69.85,67.85,6.5,22.1,63.4,20.2,alluvial,blackgram,Good NPK
24.12,90.24,173.21,6.84,4.1,5.6,5.1,sandy,coconut,Urea
23.42,90.37,103.42,6.84,22.1,55.4,35.4,laterite,pomegranate,Urea and MOP
24.97,83.59,195.77,6.17,60.3,43.0,44.9,Clayey,jute,Urea and DAP
24.03,95.0,167.08,5.26,5.3,4.7,4.6,laterite,coconut,MOP
19.53,94.57,111.36,5.67,19.7,58.5,36.4,laterite,pomegranate,Urea and MOP
22.77,91.38,121.62,5.76,20.3,122.7,200.9,laterite,apple,DAP and MOP
21.93,56.46,97.79,6.31,80.3,49.1,40.7,clay loam,maize,Good NPK
35.19,91.17,150.74,6.41,54.8,50.7,54.0,Clayey,papaya,Urea and DAP
36.34,88.09,23.48,6.41,112.1,10.0,48.1,alluvial,muskmelon,Good NPK
24.62,55.49,156.62,6.48,106.5,28.4,26.8,laterite,coffee,Good NPK
36.3,94.17,151.85,6.73,45.6,46.8,50.6,alluvial,papaya,Urea and DAP
26.9,85.29,108.07,6.1,24.1,20.8,13.9,alluvial,orange,Good NPK
33.16,90.23,141.32,6.34,45.2,51.0,54.5,alluvial,papaya,Urea and DAP
20.1,25.57,74.02,6.21,37.8,63.0,78.1,alluvial,chickpea,DAP and MOP
25.94,79.27,172.4,6.32,64.9,54.0,37.5,silty clay,jute,Urea and DAP
33.12,80.82,54.71,6.9,22.9,73.1,17.7,alluvial,mungbean,Urea and DAP
29.75,88.37,100.75,6.95,22.7,16.5,11.7,coastal,orange,Good NPK
34.29,45.93,142.44,5.18,24.4,58.7,18.7,clay loam,pigeonpeas,Good NPK
26.81,83.93,236.8,6.84,67.4,37.7,37.4,silty clay,rice,Urea and DAP
18.23,93.22,100.79,5.89,19.2,59.6,37.0,laterite,pomegranate,Urea and MOP
33.94,54.87,58.86,3.52,22.8,48.0,19.4,sandy,mothbeans,DAP and MOP
25.67,80.42,179.5,6.54,79.8,48.6,37.7,silty clay,jute,Urea and DAP
25.1,69.82,54.75,7.04,17.4,73.7,23.6,clay loam,lentil,DAP and MOP
26.59,89.7,196.67,6.65,69.3,41.5,37.3,silty clay,jute,Urea and DAP
28.23,65.44,68.57,6.33,19.6,61.1,15.4,alluvial,blackgram,Good NPK
25.24,84.43,170.27,6.93,81.0,54.5,39.4,Clayey,jute,Urea and DAP
15.33,19.82,97.82,7.47,33.4,65.1,74.0,sandy,chickpea,DAP and MOP
20.98,25.77,102.32,8.0,38.7,56.8,68.3,sandy,chickpea,DAP and MOP
18.62,23.94,119.08,5.52,24.4,68.4,21.8,clay loam,kidneybeans,DAP and MOP
34.58,94.71,152.66,6.85,48.7,52.8,49.5,Clayey,papaya,Urea and DAP
27.51,48.98,112.01,6.36,19.0,21.4,30.5,alluvial,mango,Urea and DAP
26.74,63.61,65.71,6.46,19.5,69.2,22.3,laterite,blackgram,Good NPK
21.22,59.83,86.03,7.45,87.7,45.8,48.2,alluvial,maize,Good NPK
25.96,84.19,48.44,6.17,17.0,60.3,16.7,alluvial,mungbean,Urea and DAP
20.43,55.86,108.1,6.56,87.4,47.1,41.1,sandy,maize,Good NPK
29.09,58.86,147.75,5.22,17.8,69.3,15.1,alluvial,pigeonpeas,Good NPK
26.06,90.8,154.02,7.94,4.3,4.3,4.9,laterite,coconut,Urea
34.36,88.94,26.58,6.3,100.9,14.7,45.1,sandy,muskmelon,Good NPK
21.4,67.55,88.82,6.67,77.0,49.7,46.2,clay loam,maize,Good NPK
31.83,65.94,68.09,6.63,21.5,59.7,16.6,clay loam,blackgram,Good NPK
23.18,62.92,158.72,6.44,100.0,26.8,29.6,laterite,coffee,Good NPK
13.18,89.85,65.8,5.87,21.5,128.5,206.7,laterite,grapes,DAP and MOP
25.73,87.44,49.69,7.07,22.1,61.2,17.4,sandy,mungbean,Urea and DAP
25.16,61.41,147.25,6.47,96.1,27.1,29.8,laterite,coffee,Good NPK
21.42,23.71,119.89,6.35,18.4,69.8,17.2,alluvial,kidneybeans,DAP and MOP
23.77,78.64,82.9,7.16,132.3,43.0,15.1,Clayey,cotton,Urea and MOP
23.37,94.09,115.1,5.94,24.2,136.4,201.5,laterite,apple,DAP and MOP
26.78,76.19,103.91,6.91,100.3,68.0,52.1,alluvial,banana,Good NPK
